Word,Coefficient
dreamed,-0.16626852
decorate,-0.167641842
entire,-0.167641842
point,-0.168660254
misses,-0.168660254
phrase,-0.168660254
graduating,-0.169571764
skill,-0.169571764
dirty,-0.169766483
illness,-0.169766483
night,-0.170340451
awake,-0.170340451
marriage,-0.173213957
teens,-0.173915999
travel,-0.174122069
weekend,-0.17413399
gracie,-0.174278874
wins,-0.174278874
prom,-0.174278874
crave,-0.17433447
privacy,-0.17433447
notice,-0.174754011
helicopter,-0.176317317
warriors,-0.178732679
rest,-0.178732679
knew,-0.179721808
support,-0.180013362
boy,-0.180524176
pressure,-0.180704972
ca,-0.181679761
juneteenth,-0.182533865
50s,-0.183229482
connect,-0.184291422
announcing,-0.184696394
visit,-0.184785034
dates,-0.185120398
exclusive,-0.185286607
ultimate,-0.185286607
bad,-0.185920691
connected,-0.186329831
letter,-0.186701821
country,-0.186836646
schools,-0.186836646
honoring,-0.186836646
mama,-0.190527187
dating,-0.190967373
90s,-0.190967373
amazing,-0.191204359
adulthood,-0.191569803
universities,-0.192302027
offers,-0.192302027
rescind,-0.192302027
spot,-0.193061396
sweet,-0.193061396
october,-0.193466367
tiktok,-0.194347458
hour,-0.194442326
finest,-0.194442326
childhood,-0.194442326
sounds,-0.194442326
apologize,-0.195036359
food,-0.195036359
fast,-0.195036359
tracking,-0.197222828
words,-0.19866276
motherhood,-0.198902982
document,-0.199214043
secretly,-0.202883624
favorites,-0.205858051
talks,-0.206727596
adults,-0.207836126
leaving,-0.208355818
families,-0.208513928
jobs,-0.208948882
finding,-0.208948882
internships,-0.208948882
getting,-0.211329209
asset,-0.211329209
okay,-0.212087519
snowplow,-0.212087519
hug,-0.212566688
online,-0.214508745
finally,-0.215430124
certain,-0.216524011
hang,-0.216524011
thought,-0.216583821
strong,-0.21696844
start,-0.217466908
think,-0.217908535
proud,-0.218223381
alternate,-0.218223381
taking,-0.218223381
sleep,-0.218323825
latest,-0.218326122
crushing,-0.220246783
blow,-0.220246783
dealt,-0.220246783
convincing,-0.221439744
survive,-0.222891955
organized,-0.223503505
lies,-0.224136652
frequent,-0.224136652
teenagers,-0.224136652
teachers,-0.225513613
sure,-0.226031604
fooled,-0.226770474
forever,-0.227432406
extras,-0.229194456
sons,-0.229194456
appeal,-0.231104544
award,-0.231104544
ts,-0.232741362
don,-0.232741362
warning,-0.232769002
compassion,-0.233186494
try,-0.233186494
documents,-0.236825542
medical,-0.236825542
emergency,-0.236825542
quickly,-0.23684616
eve,-0.237814531
staying,-0.237814531
twentysomething,-0.238192504
pieces,-0.238192504
challenging,-0.238747669
battles,-0.238953388
pick,-0.238953388
sooner,-0.240149364
wrote,-0.240615378
thanksgiving,-0.241638881
mail,-0.242912998
especially,-0.244817461
world,-0.245622606
thoughts,-0.246998013
cool,-0.247690099
considering,-0.248053295
said,-0.248053295
close,-0.248142063
skills,-0.249389148
dear,-0.249627697
unexpected,-0.252408361
bored,-0.253416365
solutions,-0.255282305
season,-0.25857858
add,-0.259386977
items,-0.259386977
opening,-0.260100352
fighting,-0.260289388
sophomores,-0.260821233
juniors,-0.260821233
reasons,-0.26186147
acceptance,-0.263656274
tired,-0.263771139
thursday,-0.264988459
atlanta,-0.264988459
left,-0.266107398
appointments,-0.266178298
moments,-0.267182511
ago,-0.269402482
host,-0.271216369
party,-0.271216369
financial,-0.271455105
pay,-0.272731535
advisor,-0.272930383
academic,-0.272930383
gained,-0.273272613
lost,-0.273272613
essay,-0.274587056
report,-0.27503164
says,-0.27503164
stores,-0.275108541
woman,-0.275206304
forgetting,-0.277833643
complain,-0.277993401
love,-0.278822814
40s,-0.278962462
thanksgviing,-0.280212181
covid,-0.28179701
celebrate,-0.281881304
making,-0.283377791
idea,-0.283377791
took,-0.288475309
fine,-0.289024203
indicators,-0.289024203
shows,-0.290430991
silver,-0.290430991
lining,-0.290430991
19,-0.292726544
drop,-0.293247392
professor,-0.293777703
health,-0.29491069
stuffers,-0.295679382
fit,-0.298836278
suitcase,-0.298836278
respond,-0.301928878
met,-0.303276659
significant,-0.303276659
tailgating,-0.304101287
helped,-0.307674634
trend,-0.308927094
explain,-0.308927094
vsco,-0.308927094
girl,-0.308927094
selling,-0.311890142
snag,-0.311890142
taught,-0.320633764
forcing,-0.321144037
living,-0.323558423
gave,-0.325286076
truly,-0.328256834
dreaded,-0.328258733
empathetic,-0.331055409
planning,-0.336635458
visits,-0.336635458
rankings,-0.338244066
begin,-0.338245149
means,-0.341124314
dos,-0.342120276
different,-0.34506798
end,-0.348041495
lonely,-0.348966794
friends,-0.353659194
post,-0.353758904
major,-0.355597378
cost,-0.356375799
fellow,-0.357961601
family,-0.358026992
keeps,-0.358706332
safe,-0.3604519
great,-0.366441218
ll,-0.366550792
filling,-0.366711575
actually,-0.372826203
discuss,-0.373924913
accepted,-0.374350378
package,-0.375411411
failing,-0.375977152
mental,-0.3794373
apply,-0.379474802
instead,-0.380732883
break,-0.382278528
realize,-0.382461018
difficult,-0.387860442
keeping,-0.390384671
wants,-0.393016113
place,-0.395625375
comes,-0.396567053
biggest,-0.39740038
information,-0.397689557
overprotective,-0.398112114
worried,-0.399079673
important,-0.404925668
turns,-0.405019414
minutes,-0.407300162
teacher,-0.407324542
perfect,-0.407390448
share,-0.407873531
home,-0.409965785
graduation,-0.413040752
teenage,-0.417568706
ideas,-0.418325461
differently,-0.421250397
need,-0.424980375
laugh,-0.426120317
